"R","P","Collection Time","Source Url","Url","Rk","Column7","Tm","Age","Pos","G","Gs","Qbrec","Cmp","Att","Cmp%","Yds","Td","Td%","Int","Int%","Lng","Ya","Ay A","Yc","Yg","Rate","Qbr","Sk","Yds2","Ny A","Any A","Sk%","4 Qc","Gwd","No","Name","Ht","Wt","Yr","Hometown Prev School","Position","Hometown","High School","Column 45","Cl","Hometown Last School","Hometown High School","Image","Title","Full Name","Year","Height","Weight","City","State","Prior School","Column 58","Column 59","Column 60","Column 61","Column 62","Column 63","Column 64","Column 65","Column 66","Column 67","Column 68","Column 69","Column 70","Column 71","Column 72","Column 73","Column 74","Column 75","Column 76","Column 77","Column 78"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924319/terez-hall","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Terez Hall","LB","6-2","225","SO","Lithonia, GA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4047308/cameren-rivers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","Cameren Rivers","S","6-4","200","JR","--"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/531387/donavin-newsom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","Donavin Newsom","LB","6-2","240","SR","--"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/537605/jake-brents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Jake Brents","WR","6-3","210","SR","Springfield, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3924313/corey-fatony","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","Corey Fatony","P","5-11","205","SO","Franklin, TN"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/559572/logan-cheadle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","Logan Cheadle","DB","5-10","180","JR","Lee's Summit, MO"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/3940226/steven-spadarotto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","Steven Spadarotto","WR","6-2","185","SO","Santa Maria, CA"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4035108/trey-baldwin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","Trey Baldwin","LB","6-2","235","FR","Houston, TX"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/4047309/nate-strong","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","Nate Strong","RB","6-0","210","SO","East Saint Louis, IL"
"","","11/1/2016 11:34:28 PM","http://www.espn.com/college-football/team/roster/_/id/142","http://www.espn.com/college-football/player/_/id/531388/michael-scherer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","Michael Scherer","LB","6-3","235","SR","--"
